City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
88,Port Hedland,-20.3167,118.5667,78.85,19,0,11.5,AU,2022-09-16 00:46:58
89,Am Timan,11.0297,20.2827,72.7,93,99,1.92,TD,2022-09-16 00:46:58
90,Bonthe,7.5264,-12.505,76.46,90,44,6.24,SL,2022-09-16 00:44:14
91,Inzer,54.2167,57.5556,51.76,46,100,6.24,RU,2022-09-16 00:46:58
92,San Cristobal,7.7669,-72.225,77.18,86,31,2.21,VE,2022-09-16 00:44:31
93,Mirnyy,62.5353,113.9611,42.64,84,87,9.22,RU,2022-09-16 00:46:59
94,Dikson,73.5069,80.5464,36.95,71,100,17.47,RU,2022-09-16 00:45:36
95,Nioro,13.35,-15.75,77.0,92,0,5.99,GM,2022-09-16 00:44:19
96,San Jeronimo,-11.9472,-75.2829,50.68,77,85,2.93,PE,2022-09-16 00:46:59
97,Hays,30.0502,-98.0336,86.09,57,94,5.01,US,2022-09-16 00:47:00
98,Saskylakh,71.9167,114.0833,31.41,81,100,9.93,RU,2022-09-16 00:47:00
99,Mushie,-3.0167,16.9,75.7,83,99,1.63,CD,2022-09-16 00:44:26
100,Acajutla,13.5928,-89.8275,80.04,82,97,5.75,SV,2022-09-16 00:47:01
101,Mar Del Plata,-38.0023,-57.5575,55.09,92,0,27.0,AR,2022-09-16 00:44:27
102,Yellowknife,62.456,-114.3525,66.72,48,20,9.22,CA,2022-09-16 00:45:42
103,Cabildo,-38.4842,-61.8954,64.15,30,46,22.41,AR,2022-09-16 00:47:01
104,Northam,51.0333,-4.2167,58.6,75,66,10.6,GB,2022-09-16 00:47:02
105,Amreli,21.6167,71.2333,75.49,95,96,8.46,IN,2022-09-16 00:47:02
106,Rorvik,64.8621,11.2373,53.71,94,100,4.61,NO,2022-09-16 00:47:02
107,Ribeira Grande,38.5167,-28.7,73.74,90,13,15.55,PT,2022-09-16 00:47:03
108,Saint George,37.1041,-113.5841,88.63,35,0,5.75,US,2022-09-16 00:43:18
109,West Bay,19.3667,-81.4167,84.27,81,20,5.75,KY,2022-09-16 00:47:03
110,Halol,22.5,73.4667,78.04,92,93,5.48,IN,2022-09-16 00:47:04
111,Samarai,-10.6167,150.6667,80.94,83,52,14.18,PG,2022-09-16 00:47:04
112,Faya,18.3851,42.4509,66.31,27,9,5.32,SA,2022-09-16 00:47:04
113,Novovasylivka,46.8315,35.7536,65.88,91,100,7.87,UA,2022-09-16 00:47:05
114,Sao Raimundo Nonato,-9.0153,-42.6994,81.43,32,14,3.78,BR,2022-09-16 00:47:05
115,Carnarvon,-24.8667,113.6333,64.58,59,0,19.62,AU,2022-09-16 00:47:06
116,Lethem,3.3803,-59.7968,80.65,71,91,6.38,GY,2022-09-16 00:47:06
117,Grindavik,63.8424,-22.4338,43.27,93,0,1.14,IS,2022-09-16 00:47:07
118,Makakilo City,21.3469,-158.0858,83.98,68,75,12.66,US,2022-09-16 00:47:07
119,Jamestown,42.097,-79.2353,56.84,65,0,5.75,US,2022-09-16 00:47:07
120,Georgetown,5.4112,100.3354,80.53,89,20,2.3,MY,2022-09-16 00:46:30
121,Esna,25.2934,32.554,78.82,34,0,10.85,EG,2022-09-16 00:47:08
122,Kaniama,-7.5667,24.1833,70.59,72,59,0.78,CD,2022-09-16 00:47:08
123,Pacific Grove,36.6177,-121.9166,76.21,77,0,12.66,US,2022-09-16 00:41:42
124,Sovetskiy,61.3614,63.5842,48.24,74,100,6.24,RU,2022-09-16 00:47:09
125,Sao Filipe,14.8961,-24.4956,78.53,86,21,5.93,CV,2022-09-16 00:47:09
126,Asau,46.4333,26.4,63.52,66,82,15.97,RO,2022-09-16 00:47:10
127,Vao,-22.6667,167.4833,68.77,63,11,11.5,NC,2022-09-16 00:47:10
128,Wairoa,-39.0333,177.3667,56.55,63,0,4.0,NZ,2022-09-16 00:47:10
129,Port Elizabeth,-33.918,25.5701,61.32,99,100,5.75,ZA,2022-09-16 00:47:05
130,Kahului,20.8947,-156.47,93.22,58,75,13.8,US,2022-09-16 00:48:11
131,Bonavista,48.6499,-53.1147,58.91,83,0,16.49,CA,2022-09-16 00:48:11
132,Hambantota,6.1241,81.1185,77.34,100,20,2.3,LK,2022-09-16 00:48:12
133,Tasiilaq,65.6145,-37.6368,39.36,87,77,2.91,GL,2022-09-16 00:48:12
134,Arlit,18.7369,7.3853,95.4,17,64,7.45,NE,2022-09-16 00:48:12
135,Cuenca,-2.8833,-78.9833,64.53,55,75,10.36,EC,2022-09-16 00:44:12
136,Pemberton,50.3164,-122.8027,62.29,78,66,5.03,CA,2022-09-16 00:48:13
137,Cape Town,-33.9258,18.4232,61.38,88,100,2.3,ZA,2022-09-16 00:47:10
138,Ostersund,63.1792,14.6357,47.61,100,100,8.05,SE,2022-09-16 00:48:13
139,Yerbogachen,61.2767,108.0108,42.44,81,12,8.32,RU,2022-09-16 00:48:14
140,Kirkuk,35.4681,44.3922,79.5,21,0,5.79,IQ,2022-09-16 00:48:14
141,Kashi,39.4547,75.9797,70.81,32,20,8.95,CN,2022-09-16 00:48:14
142,Ohafia,5.6167,7.8333,70.72,98,100,3.02,NG,2022-09-16 00:48:15
143,Vila,42.0304,-8.1588,56.28,92,0,2.46,PT,2022-09-16 00:48:15
144,Doha,25.2867,51.5333,91.38,62,0,8.05,QA,2022-09-16 00:48:15
